number_of_latent_variables	seed	sample_size
48	2876	1000
38	7883	1000
49	4089	1000
29	8828	1000
49	9401	1000
715	2876	16000
381	7883	16000
514	4089	16000
797	8828	16000
373	9401	16000
68	2876	2000
18	7883	2000
91	4089	2000
108	8828	2000
42	9401	2000
875	2876	32000
946	7883	32000
911	4089	32000
610	8828	32000
139	9401	32000
221	2876	4000
105	7883	4000
187	4089	4000
156	8828	4000
204	9401	4000
30	2876	500
30	7883	500
27	4089	500
53	8828	500
22	9401	500
254	2876	8000
454	7883	8000
208	4089	8000
359	8828	8000
334	9401	8000
